epoch,accuracy,binary_accuracy,loss,val_accuracy,val_binary_accuracy,val_loss
0,0.6327272653579712,0.6318181753158569,0.6789042353630066,0.5,0.5,0.6781046986579895
1,0.6272727251052856,0.6272727251052856,0.6705442667007446,0.5,0.5,0.6765966415405273
2,0.6454545259475708,0.6454545259475708,0.6652688980102539,0.5,0.5,0.6905577182769775
3,0.6522727012634277,0.6522727012634277,0.6588395237922668,0.5,0.5,0.6835564374923706
4,0.6618182063102722,0.6618182063102722,0.656482994556427,0.5,0.5,0.6860050559043884
5,0.6627272963523865,0.6627272963523865,0.6510666608810425,0.5,0.5,0.6754555702209473
6,0.675000011920929,0.675000011920929,0.6477806568145752,0.5,0.5,0.6767972707748413
7,0.6481817960739136,0.6481817960739136,0.6512529253959656,0.5,0.5,0.6847913861274719
8,0.6672727465629578,0.6672727465629578,0.6486374735832214,0.5249999761581421,0.5249999761581421,0.6661542654037476
9,0.6709091067314148,0.6709091067314148,0.6438443064689636,0.5,0.5,0.6772307753562927
10,0.6672727465629578,0.6672727465629578,0.6460952162742615,0.5,0.5,0.6697303652763367
11,0.682272732257843,0.682272732257843,0.6458629369735718,0.5375000238418579,0.5375000238418579,0.6789663434028625
12,0.6754545569419861,0.6754545569419861,0.6429274082183838,0.5375000238418579,0.5375000238418579,0.6649261713027954
13,0.6809090971946716,0.6809090971946716,0.6368504166603088,0.512499988079071,0.512499988079071,0.6696318984031677
14,0.671818196773529,0.671818196773529,0.643206775188446,0.5249999761581421,0.5249999761581421,0.6575297117233276
15,0.6854545474052429,0.6854545474052429,0.6356838941574097,0.550000011920929,0.550000011920929,0.6448083519935608
16,0.7022727131843567,0.7022727131843567,0.6300684213638306,0.5375000238418579,0.5375000238418579,0.6899925470352173
17,0.6986363530158997,0.6986363530158997,0.6337030529975891,0.5625,0.5625,0.6739944219589233
18,0.7077272534370422,0.7077272534370422,0.6278458833694458,0.574999988079071,0.574999988079071,0.6549005508422852
19,0.710454523563385,0.710454523563385,0.6224924325942993,0.5874999761581421,0.5874999761581421,0.658231258392334
20,0.7149999737739563,0.7149999737739563,0.6155756711959839,0.5625,0.5625,0.6588088274002075
21,0.7077272534370422,0.7077272534370422,0.6187179684638977,0.550000011920929,0.550000011920929,0.688795268535614
22,0.714090883731842,0.714090883731842,0.6142435073852539,0.5375000238418579,0.5375000238418579,0.7140791416168213
23,0.7386363744735718,0.7386363744735718,0.6008598208427429,0.574999988079071,0.574999988079071,0.6606158018112183
24,0.7354545593261719,0.7354545593261719,0.5972636938095093,0.5874999761581421,0.5874999761581421,0.6571891903877258
25,0.7313636541366577,0.7313636541366577,0.5952937006950378,0.6499999761581421,0.6499999761581421,0.6233333349227905
26,0.7231818437576294,0.7231818437576294,0.597599446773529,0.612500011920929,0.612500011920929,0.6434068083763123
27,0.7272727489471436,0.7272727489471436,0.5949305295944214,0.625,0.625,0.6560419797897339
28,0.735909104347229,0.735909104347229,0.5841245055198669,0.6625000238418579,0.6625000238418579,0.6244266629219055
29,0.7318181991577148,0.7318181991577148,0.5801140666007996,0.699999988079071,0.699999988079071,0.6026382446289062
30,0.7431818246841431,0.7431818246841431,0.5713628530502319,0.675000011920929,0.675000011920929,0.6231065988540649
31,0.7404545545578003,0.7404545545578003,0.5648261308670044,0.6625000238418579,0.6625000238418579,0.6369068026542664
32,0.7295454740524292,0.7295454740524292,0.5689488053321838,0.612500011920929,0.612500011920929,0.640992283821106
33,0.7281818389892578,0.7281818389892578,0.5652278661727905,0.5874999761581421,0.5874999761581421,0.6267591118812561
34,0.7377272844314575,0.7377272844314575,0.5496261715888977,0.7124999761581421,0.7124999761581421,0.5890020132064819
35,0.7459090948104858,0.7459090948104858,0.5470956563949585,0.6625000238418579,0.6625000238418579,0.6422113180160522
36,0.7350000143051147,0.7350000143051147,0.5402244329452515,0.6625000238418579,0.6625000238418579,0.5914166569709778
37,0.7268182039260864,0.7268182039260864,0.5533999800682068,0.612500011920929,0.612500011920929,0.6507178544998169
38,0.7340909242630005,0.7340909242630005,0.5411854982376099,0.7124999761581421,0.7124999761581421,0.5775128602981567
39,0.7381818294525146,0.7381818294525146,0.5349633693695068,0.6499999761581421,0.6499999761581421,0.6111671328544617
40,0.7222727537155151,0.7222727537155151,0.5453957915306091,0.6499999761581421,0.6499999761581421,0.6113947629928589
41,0.7377272844314575,0.7377272844314575,0.5345340371131897,0.612500011920929,0.612500011920929,0.6403051018714905
42,0.7477272748947144,0.7477272748947144,0.5136441588401794,0.6625000238418579,0.6625000238418579,0.5924951434135437
43,0.7327272891998291,0.7327272891998291,0.5338669419288635,0.7250000238418579,0.7250000238418579,0.5682802200317383
44,0.7386363744735718,0.7386363744735718,0.5337746739387512,0.7124999761581421,0.7124999761581421,0.5795639157295227
45,0.7431818246841431,0.7431818246841431,0.5218883156776428,0.699999988079071,0.699999988079071,0.5955074429512024
46,0.7509090900421143,0.7509090900421143,0.5134095549583435,0.6000000238418579,0.6000000238418579,0.6349275708198547
47,0.7486363649368286,0.7486363649368286,0.5084887742996216,0.675000011920929,0.675000011920929,0.6073900461196899
